"path","sha256"
"ArchitectureRepairBenchmark.vcxproj","19B3F3AB277D57A655F1B6FA8B1F3DB0B442FE476BCAEC800975E3976C17541C"
"benchmarks\architecture_repair_benchmark.cpp","265DC54F6971974DF6ABB67E87DA136FD78B0A1111CA36BB90D626B454D03EF9"
"benchmarks\project_builder_benchmark.cpp","157F70933648C91CAC6E467C4A76AC83E3D60F237175B7B7B98759770D1573FF"
"benchmarks\project_load_metrics_benchmark.cpp","12FA397EB54DB5AD08E986D6D47AD310B3DEC5DF8BBDAC8CA1505A2FA23799F3"
"benchmarks\rc_v2_01_benchmark.cpp","540515898EB0F175D9168317FAD710C9C3F73387E2A17F6A22DF17C591BB4B38"
"benchmarks\rc_v2_02b_frontend_benchmark.cpp","AE1B6C4445BC5F25BC4427648A16113A70701015D64DB3320AD1718CCF2ACD4A"
"benchmarks\source_manager_layout_benchmark.cpp","D9E45CD7F71A523A46022C6469B937E907D881A4FA6CFF44B62B4D8A617614B5"
"benchmarks\source_manager_persistence_benchmark.cpp","82BB3FA4F3D18E0A6C9600DF5432167106863A09B89AA9F189BD83FA51FC8A62"
"benchmarks\summarize_architecture_repair.ps1","3549C89B4A957775A4709DE25445F17A5608513408424937CB744C8C20628697"
"out\architecture_repair\baseline_raw_2.csv","4333FA284B8A1369E51C71CD90470F13A911D0FB445CB3518A76B739F07E07C1"
"out\architecture_repair\baseline_raw_3.csv","633CC77091AFF635E7B7A2C325987B086FF9476FD3FA79F408767BED8C243E2D"
"out\architecture_repair\baseline_raw_4.csv","5EE14C0B06B6DE98A76F4BCD912CB288089EB95E193BF4B247D8F3128FD34D4A"
"out\architecture_repair\baseline_raw.csv","5BF13CCA3B9E6391F0F634EBEED94AE36A85C380956BF236750FE82D1159EAEA"
"out\architecture_repair\candidate_raw_2.csv","D27196B4D43F7DFA1C03C8D72F4D66BC5CCB7E09E699F8E1A27AB07EBEF26AFF"
"out\architecture_repair\candidate_raw_3.csv","E12D2B127F027D0BA5E7B2FBD1C5BAD0655DA7398C44968A9A9EE694B8E52DB3"
"out\architecture_repair\candidate_raw_4.csv","021187E5F026790E3C873707900EBB3C71E76B94E4A9EF41D9A503113D4653C4"
"out\architecture_repair\candidate_raw.csv","1C2EB8541A099849225148E55C582AD785B5BECABF7D39C14F1591F5F16C9633"
"DiagnosticsCoreTests.vcxproj","204C0A0FB0CC6DA6F7F5EAAD1CB1791AECB639E93A2D8F96D961037ABA2E7675"
"out\architecture_repair\baseline\ArchitectureRepairBenchmark.vcxproj","19B3F3AB277D57A655F1B6FA8B1F3DB0B442FE476BCAEC800975E3976C17541C"
"out\architecture_repair\baseline\benchmarks\architecture_repair_benchmark.cpp","265DC54F6971974DF6ABB67E87DA136FD78B0A1111CA36BB90D626B454D03EF9"
"out\architecture_repair\baseline\out\Release\architecture_repair_benchmark.exe","71D0BC348310EC353A9833BED8B02AF2401E446A4A7516DE537B48351568214E"
"out\architecture_repair\baseline\server_entry\config\server_configuration_loader.cpp","79D006982D39FE0E4FD4D1115CF8BC6D9313D1BB3376A80A2C6ADC4DA8F5EC64"
"out\architecture_repair\baseline\server_entry\config\server_configuration_loader.hpp","4F327B3FFCC82DA04BFEB293A340A1F3581B0A428A96EFAD7CEDFE4B86EC9A05"
"out\architecture_repair\baseline\server_entry\config\server_configuration.hpp","8568F4C0BA52DDE8982160515805800B0D44CCD6D6AE9B8173900B06C6EE049F"
"out\architecture_repair\baseline\server_entry\core\filesystem\file_snapshot.cpp","08F1CD90DE77A29D041F842410C492E563394E14C9F16B0E7766866B33642511"
"out\architecture_repair\baseline\server_entry\core\filesystem\file_snapshot.hpp","8FAB701272BAB3DE1728AFCB9111E246252FD5B93321A835941DA8A9F12CC4CF"
"out\architecture_repair\baseline\server_entry\core\hash\sha256.cpp","9C6D833B6FE729A025981BB20682BF75261A08C9B63ED3830E5B0C9F8A446B35"
"out\architecture_repair\baseline\server_entry\core\hash\sha256.hpp","57BF6A5250D8FF7602CDC577FB81F3CF09EFB5DC4B15BBCF9D972B02CC9459E6"
"out\architecture_repair\baseline\server_entry\diagnostics\diagnostic_buffer.cpp","A68692113C5E52A2D3C899DC6A522D6320AB04BA7CA6006A0ED3470F19C78D5B"
"out\architecture_repair\baseline\server_entry\diagnostics\diagnostic_buffer.hpp","857F6D1A0FD7E937C822A2896989D849D14934F0CFFF771F9603F178560BF359"
"out\architecture_repair\baseline\server_entry\diagnostics\diagnostic_descriptor.hpp","6E4ED42F0816C915D7ADC4487758E00E60933F293EC55BB8F5D7077CA75A040C"
"out\architecture_repair\baseline\server_entry\diagnostics\diagnostic_registry.hpp","1E6B15644179F269CC27B514332708ABD1C49BC7E58FB680D978952A71726BCC"
